model,capacity_va,voltage_v,warranty_months,basic_price_inr,gst_percent,including_gst_inr,mrp_inr,points
NER 1050,850,12,36,3474,18,4099,6999,10
NER 1350,1200,12,36,3813,18,4499,7699,10
NER 2350,2000,24,36,6143,18,7249,12399,20
NER 3850,3500,24,36,13431,18,15849,26099,20
NER 5500,5000,48,36,25253,18,29799,50899,40
NER 10000,10000,96,36,55508,18,65499,11899,80
