,,,Yellow Indicate-No Billing,,,,,,,,,,,,,,,,
"Sr. 
No",Date,Sales Exe.,Dealer Name & Address,"Rec. 
Adhar Card","Rec. 
Pan Card","Security
 Chq","Security Chq
No.","Fill Dealer 
form","Order Put/
Not","Rec in Office
(Entry By Acc.)",Put in File,Comp (Y/),Date,Follow up,,,Security Chq Pending,,
169,19-2-2022,Ravikant Sir,Monu Elc. Umra,Y,Y,Y,281882,Y,Y,,,Only Form Aya Hai ,,,,,,,
170,21-2-2022,Veerendra Sir,Sharma Tyre & Parts Works Kathumar,Y,Y,Y,000005,Y,Y,Y (28-2-21),Y,,,,,,,,
171,21-2-2022,Veerendra Sir,Jain Battery House Deeg,Y,Y,Y,452462,Y,Y,Y (28-2-21),Y,,,,,,,,
172,22-2-2022,Akash Sir,Jai Druga Inv. Battery Siyana,Y,Y,Y,055015,Y,Y,Y (28-2-21),Y,,,,,,,,
173,24-2-2022,Chander Sir,Wadhwa Elcs. Dabwali,Y,Y,Y,000545,Y,Y,Aagya,,Only Form Aya Hai ,,,,,,,
174,24-2-2022,Akash Sir,Rifa Battery Bahjoi,Y,Y,Security chq aagya group me detail daal dege,,Y,Y,Y (28-2-21),Y,,,party closed,,,,,
175,26-2-2022,Sumeet Sir,Shri Pushpak Tradrs Muzz,Y,Y,Y,000508,Y,Y,Y (19-8-21),Y,,,,,,,,
176,1-3-2022,Veerendra Sir,Garg Battery House Nagar,Y,Y,Y,000011,Y,Y,bhijvaduga,,,,,,,,,
177,4-3-2022,Deepak Sir,Foji Copper Store Pilana Rohtak,Y,Y,Y,378197'378198 (phy.),Y,Y,Y (19-3-21),Y,,,,,,,,
178,6-3-2022,Deepak Sir,Durga Elc. Works Ismaila,Y,Y,Y,913023'913024 (phy.),Y,Y,Y (19-3-21),Y,,,,,,,,
179,9-3-2022,Deepak Sir,Mangat Auto Elc. Sampla,Y,Y,Y,761681'761682 (phy.),Y,Y,Y (19-3-21),Y,,,,,,,,
180,12-3-2022,Ravi Sir,Neha Electronics Deoband,N,N,Y,836698'836699,Y,Y,phuchgya,,,,,,,,,
181,15-3-2022,Deepak Sir,"Pankaj Electronics,Ḥassangarh",Y,Y,Y,000025' '000024 (phy.),Y,Y,Y (19-4-21),Y,,,,,,,,
182,16-3-2022,Amit Sir,"S.S Enterprise,Bhiwani",Y,Y,Y,528911 '528910,Y,Y,(Y 26-7-22),Y,,,,,,,,
183,23-3-2022,Ravi Sir,Vasnavi Electrical Rasulpur Selampur Behat,Y,Y,Y,000001 '000002 (phy.),Y,Y,(Y 26-7),Y,,,,,,,,
184,26-3-2022,Veerendra Sir,Arshad Battery House,Y,Y,Y,031282 '031281,Y,Y,bhijvaduga,,,,,,,,,
185,23-4-2022,Akash Sir,"Revolt Electronics,Karouna",Y,Y,Y,114337 (phy.),Y,Y,(Y 26-7),Y,,,,,,,,
186,28-4-2022,Kaushal sir,Shyam Hodal,N,N,N,Adv Payment By Cash,N,Y,,,,,,,,,,
187,28-4-2022,Akash Sir,Royal Battery Rabupura,Y,Y,N,,Y,N,(Y 26-7),Y,,,,,,,,
188,29-4-2022,Ravi Sir,"Narender Electrical, Saharanpur",Y,Y,Y,717068 '717067 (phy.),Y,Y,(Y 26-7),Y,,,,,,,,
189,17-5-2022,Sumeet Sir,"Saini Electronic,Bahadarabad",Y,Y,Y,000018 '000017 '000016 (phy.),Y,Y,Y (19-8-22),Y,,,,,,,,
190,25-5-2022,Sumeet Sir,Veer Trading Company Muzzaffarnagar,Y,Y,Y,001005 '001000,Y,Y,Y (19-8-21),Y,,,,,,,,
191,30-5-2022,Manoj Sir Meerut,"Khamani Electronics,Meerut",Y,Y,Y,013871 (Adv Paymnt),Y,Y,"Ok Rece. Without  Cheque,Adhar/Pan",,,,,,,,,
192,11-6-2022,Manoj Sir Meerut,"Diamond Battery House,Meerut",Y,Y,N,chq apply krrkha h,Y,Y,Ok Rece. Without  Cheque ,,,,chq abhi bna nhi aaj billing hone s phle aa jayega,,,,,
193,11-6-2022,Manoj Sir Meerut,"Aarzoo Enterprise,Baraut",Y,Y,Y,"000152, 000155,000156 (phy.)",Y,Y,Y (19-8-21),,,,,,,,,
194,17-6-2022,Akash Sir,"Techno Power System,Alligarh",Y,Y,N,Adv Payment By Cash,Y,Y,Ok Rece. Without  Cheque ,,advance cash received when billing,,,,,,,
195,17-6-2022,Manoj Sir Meerut,"Shiv Electronics,Meerut",Y,Y,Y,"387306 '387304 '387305,(phy.)",Y,Y,Y (19-8-21),,,,,,,,,
196,18-6-2022,Akash Sir,National Battery Gulawthi,Y,Y,Y,885987 '885988 (phy.),Y,Y,ok Received,,,,,,,,,
197,22-6-2022,Akash Sir,"Ankit Battery,Dankaur",Y,Y,Y,131861 '131862,Y,N,,,,,,,,,,
198,22-6-2022,Manoj Sir Meerut,"Mayank Traders,Meerut",Y,Y,Y,000845 '000846 '000844 (phy.),Y,Y,Y (19-8-21),,,,,,,,,
199,6-7-2022,Sanjay Sir,Singh Traders Fatehpur,Y,Y,Y,"299790,299791,299792(phy.)",Y,Y,Y (19-8-21),,,,,,,,,
200,6-7-2022,Manoj Sir Meerut,Vishwakarma Traders Meerut,Y,Y,Y,"041151,  041170",Y,Y,ok recived (20-9-25),,,,sare nbd form ikthe bhijva senge jb sec chq. aa jayega,,,,,
201,11-7-2022,Rajesh Sir,Om Shiv Furniture House Kotputli,N,N,Y,000034,N,N,,,,,,,,,,
202,11-7-2022,Veerendra Sir,Shri Ram Battery House Bharatpur,N,N,Cash Party,chq n degi prty,Y,Y,bhijvaduga,,,,,,,,,
203,12-7-2022,Veerendra Sir,Aggarwal Battery House Kama,N,N,Cash Party,chq n degi prty,Y,Y,bhijvaduga,,,,,,,,,
204,12-7-2022,Manoj Sir Meerut,"Xcel Battery,Meerut",N,Y,Y,"479631,479630",Y,Y,,,,,,,,,,
205,14-7-2022,Ravi Sir,"Neelam Inverter Service, Saharanpur",Y,Y,Y,"182165 '182166 '182167,182200, 182199,182201(phy.)",Y,Y,Y (19-8-21),,,,,,,,,
206,18-7-2022,Deepak Sir,Harsh Inverter Battery House Jhajjar,Y,Y,Y,"000163,000162 (phy.)",Y,Y,Y (2-1-2023),Y,,,,,,,,
207,18-7-2022,Arun Sir,Arun Electricals And Hardware Akoda,Y,N,Y,233757 ,Y,Y,Y (20-9-22),Y,,,,,,,,
208,26-7-2022,Akash Sir,Qadri Ent. Bahjoi,Y,Y,Y,"0000006,0000007,0000008 (phy.)",Y,Y,ok Received,,,,,,,,,
209,26-7-2022,Akash Sir,Vardania Batteries Khurja,Y,,,,Y,N,Y (19-8-21),,,,,,,,,
210,27-7-2022,Manoj Sir Meerut,Rihan Ent. Meerut,Y,Y,Y,"0000012,0000013,0000014",Y,N,,,,,,,,,,
211,29-7-2022,Rajesh Sir,Nishant Power Tech Khatuwas,Y,,Y,"0000002,0000003",Y,Y,,,,,,,,,,
212,30-7-2022,Manoj Sir Meerut,Red Heart & Com. Meerut,,,,Adv Payment By Cash,Y,Y,"Ok Rece. Without  Cheque,Adhar/Pan",,,,,,,,,
213,30-7-2022,Akash Sir,Shanu Inv & Battery Kashganj,Y,Y,Y,"000221,000222,000223 (phy.)",Y,Y,Y (19-8-21),Y,,,,,,,,
214,8-8-2022,Sumeet Sir,Ujala Rep. Centre Muzz,Y,Y,,Adv Pymnt,Y,Y,Y (19-8-21),Y,,,,,,,,
215,8-8-2022,Sumeet Sir,Technocool Elc. And Ref. Seohara,Y,Y,,Adv Pymnt,Y,Y,Y (19-8-21),Y,,,,,,,,
216,14-8-2022,Manoj Sir Meerut,Shri Bajrang Bali Battery Amroha,Y,,Y,"024083,024084",Y,Y,ok Received,,,,,,,,,
217,20-8-2022,Amit Sir,Hitesh Ent. Ranila,Y,Y,Y,"547029,547035 (phy.)",Y,Y,Sunny Sir Ke Pass Hai,,,,,,,,,
218,24-8-2022,Veerendra Sir,Ridhi Sidhi Batteries Sikri,Y,Y,Y,"000011,000012",Y,Y,,,,,,,,,,
219,24-8-2022,Veerendra Sir,Sameer Battery Trading Sikri,Y,Y,Y,000328,Y,Y,,,,,,,,,,
220,1-9-2022,Ravi Sir,Shakumbari Traders Saharanpur,Y,Y,Y,"194539,194540 (phy.)",Y,Y,ok Received,,,,,,,,,
221,8-9-2022,Manoj Sir Meerut,Saurabh Sagar Elc. Barout,Y,Y,Y,"969264,969265,969266 (phy.)",Y,Y,ok Received,,,,,,,,,
222,16-9-2022,Manoj Sir Meerut,Naeem Elcs. Moradabad,Y,Y,,,Y,N,,,,,,,,,,
223,23-9-2022,Sumeet Sir,M/S Puran Kirpa Traders Muzz,Y,Y,Y,"000042,000043,000044(phy.)",Y,Y,Y (11-10-2022),Y,,,,,,,,
224,6-10-2022,Veerendra Sir,Yadav Elc. Works Tijara,Y,Y,N,,Y,Y,,,,,,,,,,
225,2-11-2022,Rajesh Sir,Tanu Solar Solution Rewari,Y,Y,Approved Sunil Sir,Cash Party,Y,N,,,,,,,,,,
226,7-11-2022,Parveen Sir,Virk Traders Pundri,Y,Y,Y,"895867,895866,895868 (phy.)",Y,Y,Y (29-11-2022),Y,,,,,,,,
227,12-11-2022,Ravinder Sir,"Durga Tradding Co,. Hansi",Y,Y,Y,000007,Y,Y,,,,,,,,,,
228,16-11-2022,Ravinder Sir,Shekhawat Battery House Neoli Kalan,Y,Y,Approved Puneet Sir,Cash Party,Y,Y,,,,,,,,,,
229,17-11-2022,Akash Sir,Prakashmay Power Solution Bulandshahr,Y,Y,N,Adv Payment By Cash,Y,Y,Ok Rece. Without  Cheque ,,,,,,,,,
230,19-11-2022,Ravinder Sir,Raju Inv. Gohana,Y,Y,,Adv Payment By Cash,Y,Y,,,,,,,,,,
231,24-11-2022,Manoj Sir Meerut,Fida Elc. Moradabad,Y,Y,Y,"598364,598365",Y,Y,,,,,,,,,,
232,25-11-2022,Rajesh Sir,Pardeep Ent. Kosli,Y,Y,,,Y,Y,,,,,,,,,,
233,30-11-2022,Sanjay Sir,Rizwan Battery House Konch,Y,Y,Y,"050132,050133,050134 (phy.)",Y,Y,,,,,,,,,,
234,9-12-2022,Rajesh Sir,Yadav Elc. Dahina,Y,Y,Y,"000086,000087",Y,Y,,,,,,,,,,
235,13-12-2022,Sumeet Sir,Anshika Trading Co. Bijnor,Y,Y,Y,"037699,037700,037701 (phy.)",Y,Y,Ok Rece. Without  Cheque,,,,,,,,,
236,13-12-2022,Prem Sir,Shivam Ent. Sohna,Y,Y,Y,"016256,016257",Y,Y,,,,,,,,,,
237,16-12-2022,Deepak Sir,Mahadev Ent. Sampla,Y,Y,chq book nhi bni,Adv Payment By Cash,Y,Y,Y (2-1-2023),Y,,,party closed,,,,,
238,24-12-2022,Arun Sir,Sawariya Traders Mahendergarh,Y,Y,,Advance Pay. By Cash,Y,Y,,,,,,,,,,
239,24-12-2022,Akash Sir,Sanjay Elc. Bulandshahr,Y,Y,,Adv Payment By Cash,Y,Y,ok Received,,,,,,,,,
240,26-12-2022,Manoj Sir B,Laxmi Elc. Badhra Dadri,Y,Y,Y,"752583,752584,752585",Y,Y,,,,,,,,,,
242,28-12-2022,Manoj Sir Meerut,Imran Battery Mawana,Y,Y,Y,"000157,000158,000165",Y,N,,,,,,,,,,
243,30-12-2022,Neeraj Sir,Rajeev Kumar,,Y,Y,Adv Payment By Chq,,Y,,,,,,,,,,
244,31-12-2022,Sanjay Sir,Shekhar Batteries Orai,,Y,Y,"051281,051282,051283 (phy.)",Y,Y,,,,,,,,,,
245,31-12-2022,Rajesh Sir,S.K Ent. Nuh Sohna,Y,Y,Y,"000013,000014",Y,N,,,,,,,,,,
246,2-1-2023,Sunny Sir,Shree Uma Amrit Ent. Sonipat,Y,Y,Y,"000006,000007 (phy.)",Y,Y,ok Received,,,,,,,,,
247,4-1-2023,Rambir Sir,Sandroop Elc. Works Kuleri ,Y,Y,Y,"675956, 675960 (phy.)",Y,Y,ok Received,,,,,,,,,
248,5-1-2023,Manoj Sir B,New Khushi Ent. Dadri,Y,Y,,,Y,Y,,,,,,,,,,
249,11-1-2023,Arun Sir,Archana Elc. & Elc Nangal Choudhary,Y,Y,,Chq Nhi degi Prty,Y,Y,Y (2-1-2023),,,,,,,,,
250,11-1-2023,Rajesh Sir,Raj Hardware Mandola,Y,Y,Y,893711,Y,Y,,,,,,,,,,
251,12-1-2023,Sunny Sir,Neha Elc. Sonipat,Y,Y,Y,"000021,000022,000023 (phy.)",Y,Y,ok Received,,,,,,,,,
252,17-1-2023,Sumeet Sir,Super Power Ent. Roorkee,Y,Y,Y,"000005,000006,000007 (phy.)",Y,Y,ok Received,,,,,,,,,
253,18-1-2023,Prem Sir,Tejas Power Solution Palwal,Y,Y,Y,"023158,023159",Y,Y,,,,,,,,,,
254,18-1-2023,Manoj Sir Meerut,A.M Ent. Meerut,Y,Y,Y,"100126,100127,100128 (phy.)",Y,Y,Y (6-1-2024),,,,,,,,,
255,25-2-2023,Manoj Sir Meerut,Shadab Elc. Moradabad,Y,Y,Y,"000040,000041,000042 (phy.)",Y,Y,Y (6-1-2024),,,,,,,,,
256,5-3-2023,Manoj Sir B,B.K Power System Bhiwani,,,Y,"192275,192276",Y,Y,,,,,,,,,,
257,11-3-2023,Rajesh Sir,Royal Star Distributors Rewari,,Y,Y,"000014,000015",Y,Y,,,,,,,,,,
258,11-3-2023,Rajesh Sir,Durga Battery & Budhi Bawal,Y,Y,Y,"000011,000012",Y,Y,,,,,,,,,,
259,21-3-2023,Ravi Sir,Gayatri Traders Saharanpur,Y,Y,Y,"637793,637794,637795 (phy.)",Y,Y,ok Received,,,,,,,,,
260,21-3-2023,Manoj Sir Meerut,Indian Battery & Inv. House Dhanoura,Y,Y,Y,"440886,440887,440888 (phy.)",Y,Y,Y (7-7-2023),,,,,,,,,
261,19-4-2023,Rajesh Sir,Shri Balaji Battery House Rewari,Y,Y,Y,000023,Y,Y,,,,,,,,,,
262,1-5-2023,Manish Sir,Raju Battery House Alwar,Y,Y,N,,Y,Y,,,,,,,,,,
263,16-5-2023,Rajesh Sir,Shri Shyam Trader Rewari,,,Y,"066668,066669",Y,N,,,,,,,,,,
264,17-5-2023,Arun Sir,Aggarwal Trading Comp. Narnaul,Y,Y,N,,Y,Y,,,,,Party closed,,,,,
265,22-5-2023,Sunny Sir,Haryana Elc. Jind,Y,Y,Y,"294290.294291,294292 (phy.)",Y,Y,ok Received,,,,,,,,,
266,22-5-2023,Prem Sir,R.A Trading Sikri,Y,Y,Y,"000005.000006,000001
'000002,000003 (phy.)",Y,Y,Chq Rec. Y (4-10-2023),,,,,,,,,
267,23-5-2023,Ravinder Sir,Sandeep Elc. Gohana,Y,Y,Y,581019 (phy.),Y,Y,,,,,,,,,,
268,26-5-2023,Prem Sir,Ali Enterprises Nagina,Y,Y,Y,689392 (phy.),Y,Y,Chq Rec. Y (4-10-2023),,,,,,,,,
269,6-6-2023,Rajesh Sir,Shree Mahalaxmi Battery Rewari,Y,Y,Y,"892458""892459",Y,Y,,,,,,,,,,
270,14-6-2023,Manish Sir,Raj Motors Dholpur,Y,Y,N,,N,N,,,,,,,,,,
271,27-6-2023,Akash Sir,Shree Shyam Ent. Bulandshahr,Y,Y,Y,000025,Y,Y,Ok Rece. Without  Cheque,,Courier Lgva Denge 9/11 Said,,,,,,,
272,4-7-2023,Prem Sir,Mubarik Inv-Batteries Singalheri,Y,Y,N,045942 (phy.),Y,Y,Chq Rec. Y (4-10-2023),,,,,,,,,
273,8-7-2023,Akash Sir,Mathuria Ent. Aligarh,Y,Y,N,Adv Payment By Cash,Y,Y,Ok Received,,,,,,,,,
274,27-7-2023,Abhinav Sir,M/S Easy Store ,Y,Y,Y,"000133,000134,000135",Y,N,,,,,,,,,,
275,7-8-2023,Sumeet Sir,Vishal Traders Shamli,Y,Y,Y,"000084,000085,000086 (phy.)",Y,Y,Nothing Received,,,,,,,,,
276,7-8-2023,Rajesh Sir,Akash Inv. & Battery House Bawal,Y,Y,Y,000004,Y,Y,Nothing Received,,,,,,,,,
277,23-8-2023,Abhinav Sir,M/S Royal Battery Service,Y,,N,,Y,N,,,,,,,,,,
278,23-8-2023,Manoj Sir Meerut,M/S Sai Enterprises Rampur,Y,Y,Y,"000004,000005,000006 (phy.)",Y,Y,Chq Rec. Y (6-1-2024),,,,,,,,,
279,24-8-2023,Abhinav Sir,Bright Star Electronics,,Y,N,,Y,N,,,,,,,,,,
280,29-8-2023,Prem Sir,V-Tek Systems Ballabgarh,Y,Y,N,,Y,Y,Nothing Received,,,,,,,,,
281,11-9-2023,Ravi Sir,Kamboj Traders Saharanpur,Y,Y,Y,"605042,605045,605044 (phy.)",Y,Y,Ok Received,,,,,,,,,
282,30-10-2023,Ravi Sir,Ujjwal Battery & Inv. Saharanpur,Y,Y,Y,000002 (phy.),Y,N,Ok Received,,,,,,,,,
283,4-11-2023,Prem Sir,Asfak Electronics Badkali,Y,Y,Y,"043791,043792",Y,N,Nothing Received,,,,,,,,,
284,24-11-2023,Rajesh Sir,Mahadev Enterprises Rewari,Y,Y,Y,"067657,'067658",Y,N,,,,,,,,,,
285,21-12-2023,Pawan Arya Sir,Manjeet Battery House Dadri,Y,Y,Y,053260'053261 (phy.),Y,Y,ok Received (27-1-24),,,,,,,,,
286,24-12-2023,Manoj Sir Meerut,Golden Batteries Bareilly,Y,Y,Y,"000079'000080,000081",Y,N,,,,,,,,,,
287,26-12-2023,Pawan Arya Sir,Atul Ent. Jhajjar,N,N,N,,Y,,ok Received (27-1-24),,,,,,,,,
288,27-12-2023,Pawan Arya Sir,Chirag Batt. House Loharu,Y,Y,Y,"000064,'000065 (phy.)",Y,,ok Received (27-1-24),,,,,,,,,
289,27-12-2023,Pawan Arya Sir,Jyoti Electronic Tosham,N,N,N,,Y,,ok Received (27-1-24),,,,,,,,,
290,11-1-2024,Kaushal Sir,Om Inverter Battery & RO System Rajgarh,Y,Y,N,,Y,Y,,,,,,,,,,
291,24-1-2024,Chander Sir,"Shri Ganpati Enterprises Talwara Jheel
Hanumangarh",Y,Y,Y,877755,Y,Y,,,,,,,,,,
292,8-2-2024,Ashish Sir,Santosh Gen. Store Purnea Bihar,Y,Y,N,,Y,Y,,,,,,,,,,
293,14-2-2024,Prem Sir,Kifayat Electricals Uttawar Palwal,Y,Y,N,N,Y,,ok recevied,,,,,,,,,
294,21-2-2024,Pawan Sir,M/S Hindustan Network Rajgarh,N,N,N,N,N,,,,,,,,,,,
295,27-2-2024,Ashish Sir,Rainbow E & E Sale Service Khagaria,Y,Y,Y,004106,Y,,,,,,,,,,,
296,13-3-2024,Manoj Sir Meerut,M/S BalaJi Battery Bareilly,Y,Y,Y,"000278,000279,000280 (phy.)",Y,,ok recevied,,,,,,,,,
297,15-3-2024,Manoj Sir Meerut,M/S Shubham Batteries Pilibhit,Y,Y,N,N,Y,,,,,,,,,,,
298,19-3-2024,Sameer Sir,M/s Battery House Saurikh,Y,Y,N,N,Y,,,,,,,,,,,
299,20-3-2024,Ashish Sir,Lead Laxmi Power Technology Muzaffarpur,Y,Y,N,N,N,,ok received (20-3-24),,,,party closed,,,,,
300,8-4-2024,Sameer Sir,A S Enterprises Kanpur,Y,Y,Y,"000030,000031,000037, 000029 (phy.)",N,,,,,,,,,,,
301,23-4-2024,Ashish Sir,Battery Inverter Centre Dalsinsarai,Y,Y,Y,"084286,084287(phy.)",Y,,ok received (23-4-24),,,,,,,,,
302,29-4-2024,Ashish Sir,Zeba Electronic Centre Katihar Bihar,Y,Y,N,N,Y,,ok received (29-4-24),,,,,,,,,
303,23-5-2024,Ravinder Sir,Vishnu Trading Company Gohana,Y,Y,Y,"010890,010891(phy.)",Y,Y,ok received (23-5-24),,,,,,,,,
304,29-5-2024,Prince Sir,R.R Enterprises Gajraula,Y,Y,Y,"514819,514820,514821(phy.)",Y,Y,ok received (29-5-24),,,,,,,,,
305,30-5-2024,Ravinder Sir,Verma Elc. Nohar,N,Y,Y,161284(phy.),Y,Y,ok received,,,,,,,,,
306,31-5-2024,Ravi Sir,Swati Inv. & Battery Rampur Maniharan,Y,Y,Y,"352360,352361 (phy.)",Y,Y,ok received (31-5-24),,,,,,,,,
307,4-6-2024,Sanjay Sir,Veena Battery Motihari,Y,Y,Y,"000018,000019(phy.)",Y,,ok received (4-6-24),,,,,,,,,
308,7-6-2024,Prince Sir,M/S Aqeel Electricals Najibabad Bijnor,Y,Y,Y,"000037,000038,000039 (phy.)",N,,ok received (7-6-24),,,,,,,,,
309,7-6-2024,Manoj Sir Meerut,Janta Enterprises Bilaspur Rampur,Y,Y,N,,Y,,ok received (7-6-24),,,,,,,,,
310,10-6-2024,Sachin Sir,Gopal Enterprises Muzz,Y,Y,Y,"066906,066907,066908 (phy.)",Y,,ok received (7-6-24),,,,,,,,,
311,11-6-2024,Ravi Sir,Durga Electronics Patni Saharanpur,Y,Y,Y,"896913,896914 (phy.)",Y,,ok received (11-6-24),,,,,,,,,
312,11-6-2024,Ravi Sir,Shakumbhari Electricals Pather Saharanpur,Y,Y,Y,"000001,000002 (phy.)",Y,,ok received (11-6-24),,,,,,,,,
313,25-6-2024,Prem Sir,Dikshi Inverter & Batteries Badshahpur,Y,Y,Y,382977,N,,ok Received (30-6-24),,,,,,,,,
314,9-7-2024,Sameer Sir,M/S Laxmi Electronics Fatehpur,Y,Y,Y,"000199, 000200, 000201 (phy.)",N,,ok received (9-7-24),,,,,,,,,
315,11-7-2024,Ravinder Sir,S.K Solar System Hansi,Y,N,Y,"000163,000164,000165 (phy)",N,,ok received (11-7-24),,,,Party closed,,,,,
316,12-7-2024,Ravinder Sir,M/S. Dhruv Solar System Meham,Y,Y,After 1 Week,,N,,,,,,Party closed,,,,,
317,15-7-2024,Sameer Sir,M/S R.J. Enterprises Ajgain Unnao,Y,Y,Y,"825804, 825805, 825806(phy.)",N,,,,,,,,,,,
318,16-7-2024,Ravi Sir,Simran Battery Saharanpur,Y,Y,Y,"028173,028174,028175 (phy.)",Y,,ok received (16-7-24),,,,,,,,,
319,17-7-2024,Rambir Sir,Vishvakarma Auto Electric Works Barwala,N,N,N,N,N,,,,,,,,,,,
320,26-7-2024,Manoj Sir Meerut,M/S R K Electricals Rudrapur,Y,Y,Y,"123138,123139,123140(phy.)",Y,,ok received (4-9-24),,,,,,,,,
321,30-7-2024,Ravi Sir,Aryan Solar Panel Nakur,Y,Y,Y,"345915,345916 (phy.)",Y,,ok received ( 30-7-24),,,,,,,,,
322,9-8-2024,Salman Sir,Murti Battery Agra,Y,Y,Y,"286478,286479 (phy.)",Y,,ok received (10-8-24),,,,,,,,,
323,12-8-2024,Salman Sir,Ratan Power System Firozabad,Y,Y,Y,"101581,101580 (phy.)",Y,,ok received (12-8-24),,,,,,,,,
324,21-8-2024,Arun Sir,Shiv Battery House Birohar,Y,Y,Y,"495377,495376 (phy)",Y,,ok received (7-11-24),,,,,,,,,
325,26-8-2024,Manoj Sir Meerut,Ganpati Traders Meerut,Y,Y,Y,"000009,000010,000011 (phy.)",Y,,ok received (4-9-24),,,,,,,,,
326,29-8-2024,Sameer Sir,Modi Traders Jhansi,Y,Y,Y,"000416,000417,000418 (phy.)",N,,ok received,,,,aa jai ge(31.8.24),,,,,
327,,,"NK Electronics,Kanpur",Y,Y,Y,,,,,,,,,,,,,
328,29-8-2024,Salman Sir,M/S Sun Light Batteries Mathura,Y,Y,Y,"939430,939431(phy.)",Y,,ok received (4-9-24),,,,monday ko courrior (31.8.24),,,,,
329,,Prince Sir,shri gopal ji solar energy Bijnor,,,Y,"558708, 558707,558706(phy.)",Y,,ok received (4-9-24),,,,,,,,,
330,11-9-2024,Ravi Sir,Classic Electronic Saharanpur,Y,Y,Y,"525693, 525694(phy.)",Y,,ok received(11-9-24),,,,,,,,,
331,12-9-2024,Ravi Sir,Shree Guru Nanak Electronics Pilakhni Saharanpur,Y,Y,Y,"778812,778813, (phy)",Y,,ok recevied (26-9-24),,,,,,,,,
332,,Ravinder Sir,malik battery house uchana,,,Y,"035926,(phy.)",Y,,,,,,,,,,,
333,,Ravinder sir,krishna electronics jind,Y,Y,Y,"056200,056201(phy.)",Y,,,,,,,,,,,
334,,Kaushal Sir,shivam auto electric firozpur jhirka,,,,"185721,185720,185722,185724,
185726,185727,185725,185719,
307285,307286,307287(phy.)",,,,,,,,,,,,
335,,Akash sir,Aasif battery bulandsher,,,Y,"137311,137312 (phy.)",,,,,,,,,,,,
336,,Sachin Sir,Ganga Electrical Saharanpur ,Y,Y,Y,"762725,762724 (phy.)",,,,,,,,,,,,
337,,Ravi Sir,Sar Power Solution Saharanpur ,Y,Y,Y,"823299,823298,823297 (phy.)",,,,,,,,,,,,
338,,Service Centre,Shri Bala Ji Elc. Dhampur,Y,Y,Y,"219271, 219272,219273 (phy.)",,,,,,,,,,,,
339,21-9-2024,Ravi Sir,Hitoxa Enterprises Gangoh,Y,Y,Y,"501825,501826,(phy)",Y,,ok received (26-9-24),,,,,,,,,
340,23-9-2024,Prince Sir,KGN Enterprises Joya Amroha ,Y,Y,Y,"000010,000011,000012 (phy.)",Y,,ok received (21-10-24),,,,,,,,,
341,26-9-2024,sanjay sir bihar,Shreya enterprises patna,N,N,Y,"000154,000155(phy.)",M,,,,,,,,,,,
343,4-10-2024,Ravi Sir,Chauhan Solar Power System Saharanpur,Y,Y,Y,"000027,000028,000029(phy.)",Y,,ok received (21-10-24),,,,AFTER 2 DAYS,,,,,
344,11-11-2024,Manoj Sir Meerut,Hani Electronics Pilibhit,Y,Y,N,,Y,,,,,,,,,,,
345,11-11-2024,Prem Sir,Krishna Electronics Hodal,Y,Y,Y,211123,y,,ok recived (7-4-25),,,,,,,,,
346,14-11-2024,Jagat Sir,Prem Power Solution  Hathin,Y,Y,Y,"000012,000013,000014,000015",,,ok recived (25-4-25),,,,,,,,,
347,14-11-2024,Prem Sir,Sahun Inverter Battery Punhana,Y,Y,Y,"030732,030733",,,,,,,,,,,,
348,25-11-2024,Sameer saxena,New Mansoori Battery Kanpur,Y,N,Y,"631645, 631946,631947",,,,,,,,,,,,
349,25-11-2024,Manoj Sir Meerut,King Ent Pilibhit,Y,Y,N,,Y,,,,,,,,,,,
350,30-11-2024,Sameer Saxena Sir,Chand Electonics Kanpur,Y,Y,Y,904084,N,,Ok received (29-1-25),,,,,,,,,
351,30-12-2024,Ravi Sir,Nihal Traders Nanauta Saharanpur (13-1),Y,Y,Y,"753976,753977,753000",Y,,,,,,,,,,,
352,31-12-2024,Manoj Sir Meerut,Maha Shakti Battery Shahjahanpur (15-1),Y,Y,Y,"000373,000374,000375",Y,,ok recived (25-4-25),,,,,,,,,
353,6-1-2025,Neeraj Sir,Haseen Battery Meerut,Y,Y,Y,"000077,000078,000079",Y,,ok recived (7-4-25),,,,,,,,,
354,9-1-2025,Ravi Sir,Acme Electronics Saharanpur,Y,Y,Y,"095279,095280,095281",Y,,,,,,,,,,,
355,10-1-2025,Ravinder Sir,Kamla Battery And Service Bhadra Hanumangarh,Y,Y,Y,"000001,000328,000329",N,,,,000328 Chq bank m lagya 3-10-25 ku ,,,,,,,
356,18-1-2025,Salman Sir,Chauhan Battery House Mainpuri,Y,Y,Y,"000018,000019,000020",Y,,Ok received (1-2-25),,,,,,,,,
357,24-1-2025,Sanjay Yadav Sir,Mishra Electronics Hathras,Y,Y,Y,"251065,251066,251067",Y,,ok recived (12-5-25),,,,,,,,,
358,30-1-2025,Nagendra Kumar ,Yashraj Electricals & Electronics Sasaram,Y,Y,Y,"000329, 000328, 000330,000331,000332, 000321,00322,000323",Y,,chq rec23-6-25,,,,,,,,,
359,30-1-2025,Manoj Sir Meerut,M/S Kapoor Traders Meerut,Y,N,N,,Y,,ok recived (25-4-25),,,,,,,,,
