,,,Yellow Indicate-No Billing,,,,,,,,,,,,,,,,
"Sr. 
No",Date,Sales Exe.,Dealer Name & Address,"Rec. 
Adhar Card","Rec. 
Pan Card","Security
 Chq","Security Chq
No.","Fill Dealer 
form","Order Put/
Not","Rec in Office
(Entry By Acc.)",Put in File,Comp (Y/),Date,Follow up,,,Security Chq Pending,,
33,29-7-2021,Anwar Sir,Komal Elc. Jind,Y,Y,Y,"383742,383743 (PHY.)",Y,Y,Y (28-8-21),Y,chq n h,,What'sapp detail bhej di btadege,,,,,
34,29-7-2021,Akash Sir,Pankaj Elc. Anupshahr,Y,Y,,closed party,Y,Y,Y (28-8-21),Y,,,,,,,,
35,3-8-2021,Sunny Sir,Rohilla Ent. Bhiwani,Y,Y,N,,Y,Y,Y (28-8-21),Y,party khri hai security chq nhi duga,,,,,,,
36,9-8-2021,Sumeet Sir,Shakti Elc. Gangoh Saharanpur,Y,Y,Y,Running  me h,Y,Y,Y (28-8-21),Y,,,,,,,,
37,10-8-2021,Ravikant Sir,Luxmi Elc. Malik Chowk Hisar,Y,Y,Y,"000013,000014",Y,Y,Y (17-8-21),Y,,,,,,,,
38,11-8-2021,Akash Sir,Om Hari Bol Udyam Babrala UP,Y,Y,Y,"466686,466687,466688 (phy)",Y,Y,Y (28-8-21),Y,,,,,,,,
39,11-8-2021,Arun Sir,Baba Sadh Ent. Akoda,Y,Y,Y,000011 (phy.),Y,Y,Y (28-8-21),Y,,,,,,,,
40,13-8-2021,Ravikant Sir,Shri Jyoti Elc. Cantt. Hisar,Y,Y,Biiling nhi,,Y,Y,Y (17-8-21),Y,not complete,,,,,,,
41,13-8-2021,Akash Sir,Dinesh Battery Works Ahmedgarh,Y,,,closed party,Y,Y,Y (28-8-21),Y,,,,,,,,
42,14-8-2021,Anil Sir,Shree Shyam Battery Dadri,Y,Y,Y,039194 (phy.),Y,Y,Y (28-8-21),Y,,,,,,,,
43,16-8-2021,Ravikant Sir,Shree Shyam Elcs. Dogran Mohala Hisar,,,Biiling nhi,,Y,Y,Y (1-9-21),Y,not complete,,,,,,,
44,17-8-2021,Anwar Sir,Shree Radhey Elcs. Dhatrath Jind,Y,Y,Y,"008240,008241",Y,Y,Y (28-8-21),Y,,,party closed,,,,,
45,19-8-2021,Ravikant Sir,Poonia Elc. Ladwa,Y,,Monday,,Y,Y,Y (28-8-21),Y,chq n h,,,,,,,
46,20-8-2021,Akash Sir,Kissan Batteries Sikarpur,Y,Y,,closed party,Y,Y,Y (28-8-21),Y,,,,,,,,
47,20-8-2021,Akash Sir,Raj Battery Bulandshahr,Y,Y,Y,"539121,539122 (phy.)",Y,Y,Y (6-12-21),Y,,,,,,,,
48,20-8-2021,Ravikant Sir,Hitesh Ent. Kaimri,Y,Y,,,Y,Y,Y (1-9-21),Y,not complete,,,,,,,
49,26-8-2021,Ravikant Sir,R.K. Elc. Hisar (NBD),Y,Y,,,Y,Y,Party cancle,,,,,,,,,
50,27-8-2021,Ravikant Sir,Bhumika Elc. Dogran Mohalla Hisar,Y,,Y,055413 (phy.),Y,Y,Y (28-8-21),Y,Pancard nhi h,,,,,,,
51,2-9-2021,Ravikant Sir,Mukender Hisar (Restart),Y,,Inactive Party,Inactive Party,Y,Y,Y (6-12-21),Y,,,,,,,,
52,2-9-2021,Ravikant Sir,Power Plus Hisar,,,Biiling nhi,,,Y,,,,,,,,,,
53,6-9-2021,Rajesh Sir,Mayank Inv. Bikaner,Y,Y,,  ,,Y,,,,,,,,,,
54,10-9-2021,Anwar Sir,Balaji Battery House Kaithal,Y,Y,Y,"041947,041948",Y,Y,Y (6-12-21),Y,,,party closed,,,,,
55,11-9-2021,Chander Sir,Preet Inv. Rania,Y,Y,Y,058945 (phy.),Y,Y,Y (6-12-21),Y,,,,,,,,
56,11-9-2021,Chander Sir,Ahuja Shoping Complex Sirsa,Y,Y,Party Closed,Party Closed,Y,Y,Y (6-12-21),Y,Chq n h,,,,,,,
57,13-9-2021,Ravi Sir,New Shiv Shakti Traders Deoband,Y,Y,Y,"000126,000127,000128 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
58,14-9-2021,Ravi Sir,Vansh Ent. Saharanpur,Y,Y,Y,"111837,111838 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
59,14-9-2021,Ravi Sir,Durga Elc. Patni Chilkana Saharanpur,Y,Y,Y,"896913,896814",Y,Order No Rec. In Group (Order After Sarad),,,Party cancle,,,,,,,
60,15-9-2021,Ravikant Sir,Shree Radhey Krishna Elc. Hisar,Y,,Y,381861 (phy.),Y,Order No Rec. In Group,Y (6-12-21),Y,,,,,,,,
61,16-9-2021,Ravi Sir,Saini Elc. Salempur Saharanpur,Y,Y,Y,"000010,000011 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
62,17-9-2021,Ravi Sir,Pundir Elcs. Works Saharanpur,Y,Y,Y,"000281,000282 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
63,17-9-2021,Ravikant Sir,Jai Bharat Elcs Azad Nagar Hisar,Y,,aagya,,Y,Order No Rec. In Group,Y (6-12-21),Y,chq n h,,,,,,,
64,20-9-2021,Ravi Sir,Shiva Ent. Sarsava,Y,Y,Y,355755'355756'355757 (phy.),Y,Y,Y (8-11-21),Y,,,,,,,,
65,20-9-2021,Rajesh Sir,Shree Shyam Battery House Kosli,Y,Y,Y,"763182,763183",N,Y,,,,,,,,,,
66,20-9-2021,Akash Sir,Jai Durga Inv. Siyana,Y,Y,Y,055015 closed party,Y,Y,Y (6-12-21),Y,,,,,,,,
67,22-9-2021,Ravi Sir,Durga Electricals Saharanpur,Y,Y,Y,032930(Phy.),Y,Y,Y (6-12-21),Y,,,,,,,,
68,24-9-2021,Ravi Sir,Swagat Battery Workshop Saharanpur,Y,Y,Y,"000542,000543(phy.)",Y,Y,Y (20-11-21),Y,,,,,,,,
69,24-9-2021,Sunny Sir,Jai Mata Trading Co. Ch. Dadri,Y,Y,Y,"000261,000262,(phy.)",Y,Y,Y (6-12-21),Y,,,,,,,,
70,24-9-2021,Sumeet Sir,Maa Vaishno Ex. Store Roorkee,Y,Y,Y,"201982,201983",Y,Y,Party Closed,,,,,,,,,
71,25-9-2021,Ravi Sir,Krishna elc.Rampur,Y,Y,Y,"002882,002883,002884 (phy)",Y,Y,Y (8-11-21),Y,,,,,,,,
72,27-9-2021,Akash Sir,M/S Saifi Elcs. Jewar ,Y,Y,Y,"313368,313367 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
73,30-9-2021,Ravikant Sir,Verma Traders Hisar,Y,,Y,316783 (phy.),Y,Y,Y (6-12-21),Y,,,,,,,,
74,30-9-2021,Ravi Sir,Smart Mobile & Elc. Biharigarh,Y,,Y,"200901,200900,200899 (phy.)|",Y,Y,Y (8-11-21),Y,,,,,,,,
75,30-9-2021,Chander Sir,Deshwali Auto Kagdana Chopta,Y,Y,Y,009123,Y,Y (25-10),Y (6-12-21),Y,,,,,,,,
76,6-10-2021,Ravi Sir,Avi. Elc. Nakur Saharanpr,Y,Y,Y,"000022,'000023 (phy.)|",Y,Y,Y (8-11-21),Y,,,,,,,,
77,6-10-2021,Anwar Sir,Khatkar Elc. Works Uchana,Y,Y,Y,"000011,'000013",Y,Y,Y (6-12-21),Y,,,party closed,,,,,
78,7-10-2021,Ravikant Sir,Shiv Elc. Store Hisar,Y,Y,Biiling nhi,,Y,N,,,,,,,,,,
79,7-10-2021,Ravi Sir,Rajbanshi Inv. Saharanpur,Y,Y,Y,"017573,017574 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
80,8-10-2021,Akash Sir,Mony Star Battery Khurja,Y,Y,Y,"000016,'000017 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
81,9-10-2021,Ravi Sir,Kanika Elc. Saharanpur,Y,Y,Y,000086 (phy.),Y,Y,Y (8-11-21),Y,,,,,,,,
82,11-10-2021,Anwar Sir,Rajiv Elc. Works Jind ,Y,Y,Y,"000079,'000080 (phy.)",Y,Y,Y (6-12-21),Y,,,party closed,,,,,
83,13-10-2021,Ravi Sir,New Prakash Battery Gangoh,Y,Y,Y,648569 (phy.),Y,Y,Y (8-11-21),Y,,,,,,,,
84,19-10-2021,Rajesh Sir,Chhavi Inv. Battery Rewari,Y,Y,Y,"033957,'033958",N (Approve By Sunil Sir),Y,,,,,,,,,,
85,20-10-2021,Chander Sir,Ganpati Elc. Madhosinghania,Y,Y,Y,900294 (phy.),Y,Y,Y (6-12-21),Y,,,,,,,,
86,20-10-2021,Chander Sir,Vishwkarma Auto Elc. Jamal,Y,Y,Y,,Y,N,Closed,,Mat. Nhi Gya,,,,,,,
87,25-10-2021,Ravi Sir,S.L. Elc. Saharanpur,Y,Y,Y,"931113,931114(phy.)",Y,Y,Y (28-2-21),Y,,,,,,,,
88,26-10-2021,Chander Sir,Hardeep Auto elc. Hanumangarh,Y,Y,Y,"904292,,904293",Y,Y,Y (6-12-21),Y,Mat. Nhi Gya,,,,,,,
89,27-10-2021,Ravi Sir,Luxmi Elc. Saharanpur,Y,Y,Y,013769 (phy.),Y,Y,Y (8-11-21),Y,,,,,,,,
90,27-10-2021,Deepak Sir,Ahlawat Elc. Sampla,Y,Y,Y,"018458,018459 (phy.)",Y,N,Y (28-2-21),Y,id pan card office n h,,,,,,,
91,30-10-2021,Ravi Sir,Madhur Elcs. Saharanpur,Y,Y,Y,"699337,,699338 ,000011,000012 (phy.)",Y,Y,Y (8-11-21),Y,,,,,,,,
92,3-11-2021,Kaushal Sir,Shubham Battery World Hisar,Y,Y,N,,Y,Y,,,,,,,,,,
93,9-11-2021,Akash Sir,Anshul Battery Ahmadgarh,Y,Y,N,,Y,N,,,,,Party se baat chal rahi hai material nhi jara unke ps,,,,,
94,18-11-2021,Rambir Sir,Raju Auto  Ratia,Y,Y,Y,093458,Y,Y,Y (6-12-21),Y,,,,,,,,
95,19-11-2021,Veerendra Sir,Gaurav Distributors Behror,Y,Y,Y,"000052,000053",Y,Y,Y (28-2-21),Y,,,,,,,,
96,20-11-2021,Rambir Sir,Singla Battery Bhattu,Y,Y (Voter card),Y,000869,Y,Y,Y (6-12-21),Y,,,,,,,,
97,22-11-2021,Veerendra Sir,Shree Shyam Ent. Rajgarh ,,Y (Voter card),Y,666427'666428,Y,Y,Y (28-2-21),Y,,,,,,,,
98,23-11-2021,Anwar Sir,Gill Elc. Works Jind,Y,Y,Y,000056'000057 (phy.),Y,Y,Y (6-12-21),Y,,,,,,,,
99,24-11-2021,Anwar Sir,Pawan Inv. Battery Khatkar,Y,Y,Y,"063449,063450 (phy.)",Y,Y,Y (6-12-21),Y,,,,,,,,
100,26-11-2021,Ravikant Sir,Battery Point Hisar,Y,,Y,000612 (phy.),Y,Y,Y (6-12-21),Y,pan card office n h,,,,,,,
101,27-11-2021,Sumeet Sir,Veer Trading Com. Muzz,Y,Y,Y,"001000,001005 (phy.)",Y,Y,Phuchvadia dhingra sir ko,,,,,,,,,
102,2-12-2021,Ravi Sir,Bharat Elc. Salempur,Y,Y,Y,"000017,000031,000032 (phy.)",Y,Y,Y (6-2-22),Y,,,,,,,,
103,3-12-2021,Anwar Sir,Yash Elc. Pilukhera,Y,Y,Y,015132'015133,Y,Y,Y (6-12-21),Y,chq n aye,,party closed,,,,,
104,3-12-2021,Ravi Sir,Ashu Elc. Jaroda Panda,Y,Y,Y,"126651,126652",Y,Y,Y (28-2-21),Y,,,,,,,,
105,11-12-2021,Veerendra Sir,Shri Gayatri Auto Elc. Rajgarh ,Y,Y,Y,"055156,055157",Y,Y,bhijvaduga,,,,,,,,,
106,11-12-2021,Veerendra Sir,Shivam Battery Care Alwar,Y,Y,Y,000004,Y,Y,bhijvaduga,,,,,,,,,
107,11-12-2021,Veerendra Sir,Taneja Elc. Bharatpur,Y,Y,Y,000739,Y,Y,Y (28-2-21),Y,,,,,,,,
108,14-12-2021,Ravi Sir,Kamboj Inv.& Battery Chhutmalpur,Y,Y,Y,"000583,000584(phy.)",Y,Y,Y (28-2-21),Y,,,,,,,,
109,16-12-2021,Ravi Sir,Parteek Elc. Saharanpur,Y,Y,Y,"800383,800384(phy.)",Y,Y,Y (28-2-21),Y,,,,,,,,
110,22-12-2021,Anwar Sir,Bharat Elc. Narwana Jind,Y,Y,Y,062972'062973 (phy.),Y,Y,Y (28-2-21),Y,not complete,,,,,,,
111,24-12-2021,Ravikant Sir,Ess Aar Ent. Dabda Hisar,Y,Y,,,Y,Y,Y (28-2-21),Y,not complete,,,,,,,
112,24-12-2021,Anwar Sir,Manvi Inv. Battery Pilukhera,Y,Y,Y,"093871,093872",Y,Y,Y (28-2-21),Y,not complete,,party closed,,,,,
113,24-12-2021,Anwar Sir,Mazik Power Inv. Safidon,Y,Y,Y,059135'059136,Y,Y,Y (28-2-21),Y,not complete,,party closed,,,,,
114,25-12-2021,Ravikant Sir,Total Power Soluttion Hisar,,,Biiling nhi,,Y,Y,Y (28-2-21),Y,not complete,,,,,,,
115,25-12-2021,Arun Sir,G.R. Power Solution Mahendergarh,Y,Y,Y,000001'000002,Y,Y,Y (20-9-22),Y,,,,,,,,
116,25-12-2021,Anwar Sir,Surya Battery House Julana,Y,Y,Y,670101'670102,Y,Y,Y (28-2-21),Y,not complete,,party closed,,,,,
117,25-12-2021,Ravinder Sir,Marut Ent. Hansi,Y,Y,Y,000001'000002,Y,Y,Y (28-2-21),Y,,,,,,,,
118,25-12-2021,Arun Sir,Yadav Elcs. & Plumber Dongda ,Y,kl 30/7,Y,120991'120992 (PHY.),Y,Y,Y (20-9-22),Y,,,,,,,,
119,25-12-2021,Ravinder Sir,Kataria Elc. Works Hansi,,,Y,922329'922330 (phy.),Y,Y,Y (28-2-21),Y,not complete,,,,,,,
120,25-12-2021,Ravikant Sir,P.K. Elc. Sikarpur,Y,Y,Biiling nhi,,Y,Y,Y (28-2-21),Y,not complete,,,,,,,
121,25-12-2021,Arun Sir,Shri Sidhi Vinayak Ent. Mahendergarh,Y,closed,Y,101552,Y,Y,Y (20-9-22),Y,,,,,,,,
122,26-12-2021,Veerendra Sir,Mosam Battery House Alwar,Y,Y,Y,188665'188680,Y,Y,Y (28-2-21),Y,,,,,,,,
123,26-12-2021,Veerendra Sir,Saini Battery Agencies Tijara,Y,Y,Y,"078330,078331",Y,Y,Y (28-2-21),Y,,,,,,,,
124,26-12-2021,Veerendra Sir,Aggarwal Battery Barodameo,Y,Y,Y,000011'000012,Y,Y,Y (28-2-21),Y,,,,,,,,
125,28-12-2021,Deepak Sir,Kunj Battery Chhahar,Y,Y,not but rec. advance,not,Y,Y,Y (19-3-21),Y,,,under distribute,,,,,
126,31-12-2021,Ravikant Sir,Jaiswal Elc. Hisar,,,Inactive,,Y,Y,,,,,,,,,,
127,3-1-2022,Veerendra Sir,Mateshwari Auto Elc. Thanganji (NBD),Y,Y,Y,"704,203,704,204",Y,Y,Y (28-2-21),Y,,,,,,,,
128,5-1-2022,Chander Sir,Karagwal Ass. Ellenabad,Y,Y,Y,851717,Y,Y,Y (28-2-21),Y,not complete,,,,,,,
129,5-1-2022,Ravikant Sir,Salasar Traders Hisar,Y,Y,Y,  ,Y,Y,,,Only Form Aya Hai ,,,,,,,
130,7-1-2022,Ravikant Sir,Godara Elc. Kaimri Hisar,Y,Y,Y,354963,Y,Y,,,Only Form Aya Hai ,,,,,,,
131,11-1-2022,Ravinder Sir,Chirag Batt. Elc. Gohana ,Y,,Y,054005 (phy.),Y,Y,Y (28-2-21),Y,not complete,,,,,,,
132,12-1-2022,Rambir Sir,Mahender Auto Elc. Works Bhattu,,,Y,889342,Y,Y,Y (28-2-21),Y,not complete,,,,,,,
133,12-1-2022,Ravinder Sir,Rajan Sharma Elcs. Kunger ,Y,Y,Y,361345,Y,Y,Y (28-2-21),Y,,,,,,,,
134,12-1-2022,Deepak Sir,Gaurav Elc. Rohtak ,Y,Y,Y,"468791,468792",Y,Y,Y (28-2-21),Y,,,party closed,,,,,
135,12-1-2022,Anwar Sir,Shri Ganesh Elc. Uchana,Y,Y,Y,"597990""597991(phy.)",Y,Y,Y (28-2-21),Y,,,,,,,,
136,14-1-2022,Ravinder Sir,Sanju Sales Agency Narwana,Y,Y,Y,933099,Y,Y,Y (28-2-21),Y,,,,,,,,
137,14-1-2022,Ravi Sir,Neha Elcs. & Elc Deoband,Y,Y,Y,836698'836699,Y,Y,Y (28-2-21),Y,,,,,,,,
