sal",2350,3500,5500,"1700
mtk","1850
LUM",1000,2000,1350,40amp,16MM,24v
,,,,,,,,,,,,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,SB,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,Sb,Liv,Liv.A,P,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,sy,Slt,sb,Liv.A,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,sb,sy,Slt,pl,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,sb,P,sy,PL,slt,con,charg.,,,"SYLE
26-6-2025,HR183,Salman Sir,25-6-2025,26-6-2025,28-6-2025,Chauhan baattery Mainpuri,,,,1 lac with mat,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,22,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
28-5-2026,HR984(B),Arun Sir,12-4-2025,28-5-2026,,D.R Radio Charkhi Dadri (Order B),,,,,40,,8,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-12-2025,HR1021,Prem S. Sir,19-4-2025,12-5-2025,,M.R Enterprises Punhana(Mubarik),,,50 3 PANEL 2 FOC,,55,,,,,,,,,,,4,,,,,4,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,8,,,,,8,,4,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-5-2025,HR1029(C),Chander Sir,21-4-2025,16-5-2025,25 PC APP,Guru Nanak Elc.Ellenabad(Order C),,,,WITH MAT.50K,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-5-2025,HR1037,jagat Sir,22-4-2025,15-5-2025,,Shivam Auto Elc. Work Jhirka (Order B),,,"8 FOC TT17536 
50 PE FOC CHECK APRIL",,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,10,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-5-2025,HR1046 (A),Salman Sir,24-4-2025,9-5-2025,,Ratan Power System Firozabad (Order A),"New DP-1500-2%-120 (SP)
Panal-17.55 Rs",,,,21,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-5-2025,HR1046 (B),Salman Sir,24-4-2025,9-5-2025,,Ratan Power System Firozabad (Order B),New DP-1500-2%-120 (SP),,2 pc sy tt17536,,34,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-5-2025,HR1054 (B),Prince Sir,28-4-2025,7-5-2025,,R.R Enterprises Gajraula Amroha (Order B),"New DP-1500-2%-120 (SP)
Panal-17.55 Rs",,4 pc sy tt17536,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,25,,,,,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-5-2025,HR1057(B),Chander Sir,29-4-2025,6-5-2025,50 pc aproved,New Unique Ent. Sirsa(Order B),,,,,50,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-5-2025,HR1062 (B),Arun Sir,30-4-2025,15-5-2025,,Akash Enterprises Mahendergarh (Order B),"New DP-2200-2%-3%
Party Ke amazae Panal Pe Billing",,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
