E Bike
Charger","1000/
1350",2000,2350,40amp,16MM,"PSW
LEd",bag 20,bag24,din set,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,model,,models,,,,,,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,SB,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Oth.,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,SY,SL,Sb,Liv,Liv.A,P,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,P,Liv,Liv.A,Other,sy,Slt,sb,sy,Slt,sb,Liv.A,sy,Slt,sb,P,sy,Slt,sb,P,sy,Slt,P,sy,Slt,pl,sy,Slt,sm,P,sy,Slt,sm,P,sy,Slt,sb,P,sy,Slt,sb,P,sy,slt,Pl,con,charg.,,,"SYLE
OK,HR241(B),Rambir Sir,14-7-2025,15-7-2025,22-07-2025,Bhutani Traders Hisar(Order B),"DP-2200-2%
550 mtk-19.50
165 mtk-24.00",801 (22-7-25),,,22,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDING,,,,,22-07-2025,Cash Sale(Pawan Ji),,797 (22-7-25),,SY100-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR247,Rajesh Sir,21-7-2025,22-7-2025,22-07-2025,Paras Enterprises Service Centre Jind,Service Center,803 (22-7-25),,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR248,Rajesh Sir,21-7-2025,22-7-2025,22-07-2025,Krishna Enterprises Service Centre Sonipat,Service Center,802 (22-7-25),,,16,,,,,,,,,,,1,2,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,3,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1644 Dispatch July,,,,,56,3,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,3,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,,,,0,,,,0,,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bal,,,,,,,,,,2951,24,38,0,0,0,1,0,47,65,0,8,6,0,0,4,48,0,7,20,0,0,0,0,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,1,22,0,163,71,0,0,7,63,0,63,66,0,0,9,60,1,90,41,0,0,10,56,165,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,8,0,0,102,72,0,0,60,26,0,0,,,,,,,,,12,14,20,0,40,1,1,4,,34,99,0,0,1,1,0,16,0,0,0,4,0,6,30,76,1,0,0,0,17,8,0,14,0,2,0,41,10,18,0,24,5,22,1,,11,0,0,0,2,8,0,0,0,29,,,,0,,,,396,,109,1,62,2,,,,,,,53,4,,250,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
23-7-2025,Packing,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pur. Charger,,,,,Chargehouse Mobilty,FI/313/25-26,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR244,Prem S. Sir,15-7-2025,21-7-2025,23-07-2025,M.R Enterprises Punhana(Mubarik),"dp-1500-2%
550 east-17.55",810 (23-7-25),2 pc sy tt17536,,55,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,8,,,,,8,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-7-2025,HR245,Prem S. Sir,15-7-2025,21-7-2025,23-07-2025,M.R Enterprises Punhana(Mubarik),DP-3%,811 (23-7-25),,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HR250(A),Akash Sir,21-7-2025,23-7-2025,23-07-2025,"Bulandshahr Stock Transfer Ship To
Prakashmay Power Solution Bulandshahr ",New Dp-2200-2%,807 (23-7-25),,,66,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK(lITHIUM SR NO NAHI),,,Acc To Rec.,upd on 17-7-2025,23-07-2025,Bulandshar Stock Transfer,Stock Transfer,808 (23-7-25),,,339,5,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,61,12,,,,,,40,,,,,15,,90,,,,,10,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,5,5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR217,Jagat Sir,7-7-2025,22-7-2025,23-07-2025,Prem Power Solution Hathin,"Dp-1500-2%
550 EAST-17.55",806 (23-7-25),2 pc sy tt17536,TT17536 28 %PE ,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,6,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23-07-2025,Paras Enterprises Service Centre Jind,,805 (23-7-25),,10Amp-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23-07-2025,Cash Sale,,812 (23-7-25),,SY-92Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1814 Dispatch July,,,,,531,5,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,83,42,0,0,0,0,0,48,30,0,0,0,23,0,102,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0,0,2,0,0,0,,,,,,,,,5,5,0,0,10,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,20,,,,0,,,,5,,25,0,5,0,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bal,,,,,,,,,,2595,19,38,0,0,0,1,0,47,65,0,-1,0,0,0,4,48,0,3,20,0,0,0,0,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,1,22,0,80,29,0,0,7,63,0,15,36,0,0,9,37,1,108,29,0,0,10,34,170,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,8,0,0,53,66,0,0,58,26,0,0,,,,,,,,,7,9,20,0,76,1,1,4,,34,99,0,0,1,1,0,16,0,0,0,4,0,6,29,76,1,0,0,0,17,8,0,14,0,2,0,35,10,18,0,24,5,22,1,,11,0,0,0,2,8,0,0,0,9,,,,0,,,,391,,84,1,57,2,,,,,,,53,4,,250,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
24-7-2025,Packing,,,,,,,,,,295,,,,,,,,,,,6,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sale Ret.,,,,,Jai Durga Battery Kanina,SR/H/25-26/0034,,,Transport Damage,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sale Ret.,,,,,Ashok Elc Satnali,SR/H/25-26/0036,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sale Ret.,,,,,Chirag Elc. Loharu,SR/H/25-26/0035,,,Transport Damage,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR254,Rambir Sir,22-7-2025,23-7-2025,24-07-2025,Durga Battery Fathebad,"DP-2200-2%-3%CD
550 EAST-17.55",813 (24-7-25),,,25,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR182 (B),Arun Sir,25-6-2025,26-6-2025,24-07-2025,Akash Enterpises Mahendergar (Order B),"DP-1500-2%-120-3%CD
panel party side se
",814 (24-7-25),,,73,,6,,,,,,,20,,,,,,,,,,6,,,,,,,10,,,,,,,,,,,,,,,,,,,,15,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24-07-2025,Akash Enterpises Mahendergar ,,819 (24-7-25),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,HR234,Neeraj Sir,12-7-2025,12-7-2025,24-07-2025,Haseen Batteries Meerut,"DP-1500-2%-3%%120
550 east-17.55-3%cd
",816 (24-7-25),4 tt17536 sy foc,Remaining Balance 2-3days,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDING,HR234,Neeraj Sir,12-7-2025,12-7-2025,24-07-2025,Haseen Batteries Meerut,Lt- DP-3700-3%-3%,815 (24-7-25),,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDING,HR252,Arun Sir,22-7-2025,23-7-2025,24-07-2025,Jai Durga Battery House Kanina,DP-1500-2%,817 (24-7-25),,2 PANEL 540 EXIDE RET. sAME,13,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24-07-2025,Jai Durga Battery House Kanina,,820 (24-7-25),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDING,HR253,Arun Sir,22-7-2025,23-7-2025,24-07-2025,Ashok Elc. Mahendergarh,"DP-1400-2%
550 EAST-17.55",818(24-7-25),,,19,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2036 Dispatch July,,,,,243,0,6,0,0,0,0,0,0,20,0,6,0,0,0,0,9,0,0,6,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,15,0,0,0,18,0,7,10,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,,,,,,,,,2,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,1,0,0,0,0,8,0,0,0,0,,,,0,,,,0,,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bal,,,,,,,,,,2647,19,32,0,0,0,1,0,47,45,0,-1,0,0,0,4,39,0,3,14,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,1,22,0,1,14,0,0,7,45,0,8,26,0,0,9,33,1,108,29,0,0,10,30,376,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,80,8,0,0,48,66,0,0,38,26,0,0,,,,,,,,,5,9,20,0,74,1,1,4,,34,99,0,0,1,1,0,16,0,0,0,4,0,6,29,76,1,0,0,0,17,8,0,14,0,2,0,27,10,18,0,24,5,22,1,,10,0,0,0,2,0,0,0,0,9,,,,0,,,,391,,84,1,57,2,,,,,,,53,4,,250,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
25-7-2025,Packing,,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PCB Pur.,,,,,Electrent Energy,EEPL/25-26/170,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stock Ret.,,,,,Davik Inverter Battery Service Centre Palwal,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25-7-2025,Cash Sale {Rambir},,822 (25-7-25),,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25-7-2025,Z Power Zirakpur, +7500/-,821 (25-7-25),,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,,,,9,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25-7-2025,Jitender Ji Kharab C/O Sunil Sir,50K+22500+Tax,836 (28-7-25),,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25-7-2025,Export,- 376X 150,823 (25-7-25),"80 pc tt300
128 pc tt240
168 pc tt200
2 dummy hyper
",PI -150,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2037 Dispatch July,,,,,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,20,0,20,0,0,2,,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,0,0,0,0,2,,,,,,-7,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bal,,,,,,,,,,2605,19,32,0,0,0,1,0,47,45,0,-1,0,0,0,4,38,0,3,14,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,1,22,0,1,14,0,0,7,45,0,8,26,0,0,9,33,1,108,29,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,376,8,0,0,48,66,0,0,38,26,0,0,,,,,,,,,5,9,0,0,54,1,1,2,,25,59,0,0,101,1,0,16,0,0,0,4,0,6,29,76,1,0,0,0,17,8,0,14,0,2,0,27,10,18,0,24,5,22,1,,10,0,0,0,2,0,0,0,0,9,,,,0,,,,391,,84,1,57,2,3,,,,,,80,4,,250,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
26-7-2025,Packing,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,,,11,,80,30,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panal Pur.,,,,,Bohra Ent.,BEW/2025-26/485,,,C/o Kaushal Ji ,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26-7-2025,Export Power,+ 376X150,824 (26-7-25),,PO + ₹ 150 /-,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDING,,,,,26-7-2025,New Bharat (Prorata),1000-2%,829 (26-7-25),,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26-7-2025,S K Group Bhojawas (Prorata),1000-2%,828 (26-7-25),,C/o Arun ,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26-7-2025,Lakshya Batt Dharuhera (Prorata),1000-2%,827 (26-7-25),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
